employer,jan,feb,mar,apr,may,total,months_active,avg_per_month,size_category
24 Doc (Doctor On Call) Limited,1,2,1,1,0,5,4,1.2,2-5 permits
24hr Care Services Limited,2,0,0,1,0,3,2,1.5,2-5 permits
2K Games Dublin Limited,2,0,0,0,1,3,2,1.5,2-5 permits
360 Degrees Complete Maintenance & Project Management Limited,1,0,0,0,0,1,1,1.0,1 permit
360 REMOVALS & CLEANING LIMITED,0,0,0,1,0,1,1,1.0,1 permit
4AG Robotics (Ireland) Limited,0,2,0,0,1,3,2,1.5,2-5 permits
4D Varghese Limited,1,0,0,0,0,1,1,1.0,1 permit
4F Pizzeria Ltd,0,0,1,0,0,1,1,1.0,1 permit
7 Day Auto Limited,0,1,0,0,0,1,1,1.0,1 permit
A & B DALTON TRANSPORT LIMITED,0,1,0,0,0,1,1,1.0,1 permit
A & L Goodbody LLP,1,0,1,0,1,3,3,1.0,2-5 permits
A to Z Innovative Solutions Ltd,1,0,0,0,1,2,2,1.0,2-5 permits
A W Ennis Unlimited Company,2,0,0,0,0,2,1,2.0,2-5 permits
A&D Inguz Limited,0,3,0,0,0,3,1,3.0,2-5 permits
A. Cliffe Haulage Limited,3,0,0,0,0,3,1,3.0,2-5 permits
A.F. Lucey Haulage Limited,1,0,1,0,0,2,2,1.0,2-5 permits
A.I. Vending Solutions Ltd,1,0,0,0,0,1,1,1.0,1 permit
A.O.C. Services Limited,0,2,0,0,0,2,1,2.0,2-5 permits
A.R.I Services Europe,0,0,1,0,0,1,1,1.0,1 permit
A84 Ashbourne Limited,0,0,0,1,0,1,1,1.0,1 permit
AA Accounting and Finance Services Limited,1,0,0,0,0,1,1,1.0,1 permit
AAG Hangar 1 Limited,7,15,15,0,0,37,3,12.3,21-100 permits
Aaliyah Spice Foods Limited,0,0,2,0,0,2,1,2.0,2-5 permits
AAR Asian Food Limited,0,0,1,0,0,1,1,1.0,1 permit
Aarval Limited,0,0,2,7,2,11,3,3.7,6-20 permits
Aayat Café Limited,0,0,0,2,0,2,1,2.0,2-5 permits
ABB Limited,1,0,0,0,0,1,1,1.0,1 permit
Abbey Blue Legal Limited (Employer),0,0,1,0,0,1,1,1.0,1 permit
